> -L"parana500" 500
-50.9018500624 -24.9237267202 500
-50.2451623701 -24.5484766103 500
-49.9402716558 -24.3139452916 500
-49.6822872053 -23.9856014454 500
-49.5650215459 -23.6807107311 500
-49.4946621503 -23.2116480938 500
-49.4712090184 -22.8363979839 500
-49.4008496228 -22.2969759509 500
-49.3539433591 -21.7106476542 500
-49.377396491 -21.4761163355 500
-49.0490526448 -21.1946787531 500
-48.48617748 -21.1477724893 500
-48.0405679744 -21.1477724893 500
-47.6184116008 -21.2181318849 500
-47.219708359 -21.1243193575 500
-47.1024426997 -20.8897880388 500
-46.9617239085 -20.5145379289 500
-46.8913645129 -20.2800066102 500
-46.867911381 -19.8109439728 500
-47.0086301722 -19.5060532585 500
-47.2431614909 -19.1777094124 500
-47.5011459415 -19.0369906211 500
> -L"parana900" 900
-50.0231275159 -20.5423977089 900
-50.7639732877 -20.5859768719 900
-51.533871835 -20.7167143611 900
-52.2747176069 -20.8474518502 900
-52.9061507303 -21.0706914772 900
-53.1955575785 -21.3414768949 900
-53.5686950899 -21.7422542219 900
-53.9694724169 -22.5299889681 900
-54.1629511265 -23.3039038065 900
-54.1491312187 -23.7737806727 900
-53.9971122326 -24.1330982762 900
-53.7068941682 -24.2021978153 900
-53.2784770255 -24.146918184 900
-53.0020788689 -23.8567001196 900
-52.7118608045 -23.7599607648 900
-52.6427612654 -23.9396195666 900
-52.6289413576 -24.2436575388 900
-52.5736617263 -24.5891552345 900
-52.6565811732 -24.9899325616 900
-53.0297186846 -25.3492501651 900
-53.3613964725 -25.7776673078 900
-53.402856196 -26.164624727 900
-53.4739136172 -26.7383015708 900
-53.5334617144 -27.1789574907 900
-53.4262751393 -27.7982577025 900
-53.1642635113 -28.2746424808 900
-52.8546134054 -28.4175579142 900
-52.556872919 -28.4413771532 900
-52.2591324325 -28.358009817 900
-51.9733015656 -28.1793655251 900
-51.7112899375 -28.1079078084 900
-51.4135494511 -28.2150943835 900
-51.2742283443 -28.4549318975 900
-51.185591667 -28.5790232456 900
-50.9462726385 -28.6322052519 900
-50.6892262745 -28.4815229006 900
-50.5917259295 -28.2599312075 900
-50.6271806004 -28.0630816259 900
-50.7018498245 -27.8556671148 900
-50.9424506574 -27.7395149885 900
-51.6476599953 -27.747811569 900
-52.0790821785 -27.822480793 900
-52.2201240461 -27.7975910517 900
-52.2947932701 -27.7561081494 900
-52.3694624941 -27.4906175752 900
-52.4192419768 -27.1919406791 900
-52.2707238155 -26.7732241188 900
-52.1752478547 -26.6883565981 900
-51.8576733678 -26.6411606324 900
-51.6193599851 -26.6411606324 900
-51.4902735694 -26.5815822867 900
-51.9591835695 -26.1178167969 900
-52.0821684321 -25.8963221026 900
-52.1899198473 -25.6164520365 900
-52.2172993053 -25.3476289326 900
-52.1077814734 -25.0190754369 900
-51.9982636415 -24.882178147 900
-51.6833998747 -24.7315911281 900
-51.5661182116 -24.6287388337 900
-51.3860325474 -24.4813960175 900
-51.0913469151 -24.2358246573 900
-51.0162051414 -23.8264522106 900
-50.8970275957 -23.5642616099 900
-50.7301790317 -23.3001994545 900
-50.6402726514 -23.0325996761 900
-50.5557778519 -22.6101256786 900
-50.5004517551 -22.2537794246 900
-50.4824122705 -21.8581133974 900
-50.3799534291 -21.5147352994 900
-50.2150695117 -21.2216083352 900
-50.1234673354 -20.9818031431 900
-49.9816698252 -20.8045562553 900
-49.9816698252 -20.5042803333 900
-50.1648741778 -20.5226007686 900
> -L"parana1300" 1300
-52.289230945 -21.331927859 1300
-52.5682927757 -21.5283047028 1300
-52.8370189831 -21.7660240401 1300
-52.9817177101 -22.1277708577 1300
-53.064402697 -22.3758258183 1300
-53.0230602036 -22.5618670388 1300
-52.806012113 -22.6858945191 1300
-52.661313386 -22.7375726359 1300
-52.516614659 -22.8409288695 1300
-52.3013278669 -22.9530090231 1300
-52.1597616571 -23.17547021 1300
-52.1058316723 -23.323777668 1300
-52.0856079281 -23.4383788855 1300
-52.0856079281 -23.6406163282 1300
-52.0990904243 -23.7687000418 1300
-52.0923491762 -23.9237487479 1300
-52.0586429357 -23.9372312441 1300
-51.8294405007 -23.8091475304 1300
-51.7485455236 -23.708028809 1300
-51.6339443061 -23.5125326145 1300
-51.5328255848 -23.3170364199 1300
-51.4317068635 -23.0541277444 1300
-51.4047418711 -22.8684671413 1300
-51.3914803995 -22.4175771052 1300
-51.4445262861 -22.2584394454 1300
-51.4577877577 -22.0595173707 1300
-51.4511570219 -21.7545035227 1300
-51.4107514475 -21.5159559357 1300
-51.4602022494 -21.2594551699 1300
-51.6551966096 -21.1480298212 1300
-51.9476881498 -21.1480298212 1300
-52.1148261729 -21.1758861584 1300
-52.2613060136 -21.2877216142 1300
