> -L"camp300" 300
-62.728374215 -2.73446118063 300
-62.5248350402 -2.93800035551 300
-62.3124463359 -3.27428247052 300
-62.1885529251 -3.57516646817 300
-61.9230670449 -3.87605046582 300
-61.6841297526 -4.05304105267 300
-61.6664306939 -4.30082787426 300
-61.7991736341 -4.70790622402 300
-62.0912081024 -4.92029492825 300
-62.7903209204 -5.11498457378 300
-63.2593459756 -5.23002845524 300
-63.4628851505 -5.39816951275 300
-63.7106719721 -5.79639833316 300
-64.1177503218 -6.53975879794 300
-64.6487220824 -7.0707305585 300
-65.312104689 -7.38071294058 300
-65.9627299379 -7.23400332565 300
-66.2880425623 -7.05556155499 300
-66.6704408193 -6.64679100445 300
-66.8484538009 -6.25434101265 300
-66.7825494996 -5.88664677246 300
-66.6194226291 -5.6105859147 300
-66.7700012788 -5.35334738816 300
-66.9958692533 -5.13375352404 300
-67.0962550197 -4.8765149975 300
-66.9644987013 -4.4716703128 300
-66.7577601407 -4.18518092396 300
-66.3301450824 -4.06921751834 300
-65.8335260788 -3.90523126618 300
-65.4832389119 -3.91377485562 300
-64.9108184198 -3.90596726213 300
-64.5375012054 -3.64400628284 300
-64.451245761 -3.1648093695 300
-64.34582244 -3.00188241896 300
-64.0512739196 -2.76123097561 300
-63.6706385909 -2.58419128784 300
> -L"camp500" 500
-65.5881715114 -4.25066768866 500
-65.191066016 -4.35516913483 500
-64.7382264159 -4.34123560868 500
-64.3062871051 -4.22280063635 500
-64.1808853697 -4.0486315594 500
-64.0624503973 -3.68635987935 500
-63.9551194455 -3.51591744008 500
-63.5346359548 -3.46708454448 500
-63.2166706302 -3.60453123269 500
-62.8443728056 -3.8911777295 500
-62.518440923 -3.97067331062 500
-62.1686603661 -4.12171491474 500
-61.9540222971 -4.28865563508 500
-62.1050639012 -4.5032937041 500
-62.4866426906 -4.59868840144 500
-62.9954144097 -4.62253707577 500
-63.5598330356 -4.69408309878 500
-63.8223671923 -4.82628645838 500
-64.0430440333 -5.08141887776 500
-64.1024945135 -5.45510761047 500
-64.2129025482 -5.77783878872 500
-64.4591973947 -6.10906289271 500
-64.6120700581 -6.23645677886 500
-65.0027446423 -6.33837188778 500
-65.5802635929 -6.34686481352 500
-65.8520372166 -6.19399215014 500
-66.0386031264 -6.028310484 500
-66.0720179162 -5.5187349394 500
-66.1423910536 -5.16419695266 500
-66.2831373284 -5.04690839036 500
-66.4942567405 -4.92961982806 500
-66.565138412 -4.64087961659 500
-66.4440988852 -4.4586433215 500
-66.1879348773 -4.49523817978 500
-66.0854692741 -4.59038481131 500
-66.0010935882 -4.68672143957 500
-65.8382312251 -4.67964046726 500
-65.7178546959 -4.62299268879 500
-65.6966117789 -4.36807768567 500
-65.6824498343 -4.25478212873 500
-65.5691542774 -4.25478212873 500
> -L"camp500" 500
-55.3215331 -2.76357940835 500
-55.0144478373 -2.74215485515 500
-54.7930607875 -2.82071155024 500
-54.5573907023 -2.8135700325 500
-54.3288621347 -2.79928699703 500
-54.1074750849 -2.97068342269 500
-53.9860692834 -3.13493833061 500
-53.8003898223 -3.19921199023 500
-53.6004273257 -3.07780618872 500
-53.2433514389 -2.82071155024 500
-52.9005585876 -2.75643789062 500
-52.6506054668 -2.77072092609 500
