longitude,latitude,age_info
35.4,-4.433,1.2
35.85,-2.567,1.28
-24.7,14.867,1.4
36.1,-2.15,2
36.6,-3.367,2.12
35.417,-3.183,3.91
-24.5,14.917,4.2
95,29.5,4.5
-24.983,16.85,5.7
-3.933,38.9,6
86.167,41.333,6.3
34.5,-0.383,6.6
34.367,-0.55,7.5
-23.7,15.1,7.7
4.233,44.9,8.5
-23.167,15.2,8.9
35.333,-0.067,12.6
104.867,33.917,13
34.383,-0.483,14.3
34.4,-0.483,14.5
34.2,2.833,15.5
8.8,47.767,15.7
7.683,48.067,16.4
34.283,2.15,22.1
31.317,39.617,24.2
-14.067,28.367,24.2
169.35,-44.1,24.3
-13.983,28.667,27.5
23.667,22.25,27.6
34.15,-0.567,28
14.183,50.683,31.1
34.283,0.867,32.5
102,28.833,34
15.717,-27.933,37
34.183,0.683,40
-4.65,32.567,43
-104.45,44.483,44.5
3.1,34.417,47
16.017,-26.467,48.9
-33.15,68.617,50.3
29.083,-30.5,63.4
-49.2,-24.75,66.3
72.517,24.833,67
74.067,21.983,67
-46.833,-19.883,69.5
17.833,-25.867,72.5
20.85,-32.483,74.6
-50.25,-27.667,76
-46.1,-19.35,78.2
-46.783,-19.05,80.7
-46.833,-18.917,81.6
-47.833,-18.133,82.9
-11.367,21.067,85
34.65,28.133,87
-46.95,-19.667,87.2
26.867,-18.15,89
12.2,51.517,89
14.433,-11.683,92
-115.433,48.433,94
-113.333,45.5,95
-50.7,-17.5,98
-56.25,-22.75,98
-92.867,34.45,99
-49.2,-24.5,103.1
93.4,26.2,105
92.517,26.017,105.2
30.017,-15.183,106.5
90.833,25.5,107
92.117,25.567,107
117.2,34.75,110
-49.15,-27.9,113.1
-74,45.5,117
107.167,51.85,118
107.133,51.65,118
107.483,51.917,118
15.033,-12.183,119
107.067,51.933,122
34.917,-15.117,123
16.767,-20.033,126.6
32.3,-19.75,127
117.833,36.5,127
-47.6,-23.433,127.7
-55.95,-22.65,128
104.35,44.333,130.6
35.6,-15.333,130.9
-48.133,-24.7,131
33.617,22.05,131.6
-46.783,-24.183,132.8
13.883,-14.317,133
35.8,-15.533,133
14.183,-21.383,134
119.067,58.4,134
110.833,38.333,134.8
34.95,22.85,137.5
134.083,44.5,139
104.167,44.333,139.9
-47.817,-24.383,143
34.467,22.7,146
-50,62.667,150
109.55,22.717,155
-49.5,61.9,162
16.117,-20.8,163.2
-51.7,65.383,172
103.25,23.25,180.7
110.167,34.667,181
