# kml2gmt: KML read from contours/south_america/CPRM/Tectonics_kml/Rio_de_la_Plata_Craton.kml
# Rio_de_la_Plata_Craton.kml
> -L"Rio_de_la_Plata_Craton.kml"
-59.9122428707	-29.221848111
-60.4929788729	-29.3595791075
-60.6197026421	-29.3795274026
-61.0016530977	-29.466175845
-61.0830887783	-29.5022937082
-61.1865567211	-29.5206596118
-61.5441117867	-29.6405453822
-61.7844367314	-29.7734249095
-62.1988723751	-29.9705718172
-62.494496225	-30.1236633335
-62.6712113493	-30.2564847791
-62.8612063645	-30.3771810338
-63.0554972449	-30.5891751826
-63.1443678253	-30.8042354211
-63.193732754	-31.0204958117
-63.259821769	-31.3049579419
-63.2996143876	-31.5902440847
-63.3021007265	-31.934084733
-63.2928820078	-32.3127053479
-63.2718514838	-32.7261121503
-63.2410834971	-33.2200877828
-63.2315474293	-33.58723584
-63.2249393184	-34.0115903688
-63.2392919667	-34.5727571526
-63.2192579224	-34.9975492412
-63.1945005019	-35.330801936
-63.1398178006	-35.6306940663
-63.1188528694	-35.690146227
-63.1186036566	-35.7154124316
-63.0835587267	-35.8677621424
-62.9803597304	-36.0921487612
-62.8203015612	-36.3415445739
-62.5316423445	-36.6411403411
-62.2229266535	-36.8592211072
-61.6943740539	-37.0700972226
-61.1050411158	-37.2913922315
-60.4817169518	-37.4404278349
-59.9302011187	-37.678714378
-59.9324696477	-37.6764622103
-59.9272019336	-37.6787379934
-59.4454477255	-37.8909328667
-58.8134965504	-38.1940709518
-58.331273158	-38.4820137136
-58.3312524349	-38.4820087114
-58.3038886333	-38.4724908674
-58.2800940232	-38.4665422149
-58.2384534556	-38.4463167964
-58.1337571714	-38.4094351508
-58.0825987597	-38.3903994627
-58.0290608871	-38.3689843137
-58.0100251991	-38.3582767391
-57.974333284	-38.3404307816
-57.9481592129	-38.3285334766
-57.8708267302	-38.301169675
-57.8446526592	-38.2904621005
-57.8375142761	-38.2857031785
-57.8279964321	-38.2702366819
-57.7744585595	-38.2464420719
-57.7244898784	-38.2262166533
-57.6995055378	-38.2131296178
-57.6840390413	-38.2059912348
-57.6305011686	-38.1679198587
-57.6114654806	-38.1476944401
-57.6078962891	-38.1381765961
-57.5995681756	-38.1250895606
-57.584101679	-38.114381986
-57.5686351825	-38.107243603
-57.5519789554	-38.102484681
-57.5412713809	-38.095346298
-57.5388919199	-38.083448993
-57.5353227284	-38.0477570779
-57.5329432674	-38.0346700423
-57.5258048844	-38.0251521983
-57.5269946149	-38.0168240848
-57.5424611114	-37.9965986662
-57.5436508419	-37.9799424392
-57.5388919199	-37.9668554037
-57.5234254234	-37.9145072615
-57.5198562319	-37.8930921125
-57.5103383878	-37.8633488499
-57.5020102743	-37.8431234314
-57.4901129693	-37.8252774738
-57.4556107847	-37.7860163672
-57.4377648272	-37.7622217572
-57.4199188696	-37.7467552606
-57.4056421036	-37.7300990336
-57.3473453089	-37.6825098135
-57.3259301599	-37.6622843949
-57.3116533939	-37.6515768204
-57.2961868973	-37.6444384374
-57.2830998618	-37.6337308629
-57.2640641737	-37.6158849053
-57.2426490247	-37.5980389478
-57.2259927976	-37.5778135292
