# kml2gmt: KML read from contours/south_america/CPRM/Tectonics_kml/Luiz_Alves_Craton.kml
# Luiz_Alves_Craton.kml
> -L"Luiz_Alves_Craton.kml"
-48.7453777807	-26.1064594393
-48.793028321	-26.0645477025
-48.8526288563	-26.0254628814
-48.8797357298	-25.9841087602
-48.8976560341	-25.9548923146
-48.9246190863	-25.9108887758
-48.7544423556	-25.5001305869
-48.8844026017	-25.5212334547
-48.999752178	-25.5894871756
-49.1540834669	-25.7224128527
-49.2111058528	-25.7800218731
-49.2278125404	-25.835318217
-49.1896278693	-25.9076255097
-49.1930844127	-25.9774996238
-49.3303670588	-26.0423787068
-49.563340444	-26.220869558
-49.7511212261	-26.297141959
-49.887445176	-26.3536410242
-50.1182337818	-26.4322528133
-50.3421515624	-26.5492297567
-50.5669534943	-26.6883616768
-50.8433016743	-26.8661452421
-51.0952483439	-27.0182089553
-51.2020382165	-27.0938715988
-51.4024621258	-27.2835063072
-51.4926926444	-27.4236149899
-51.5412275964	-27.554385499
-51.5617216725	-27.7031714531
-51.5332000445	-27.8254284644
-51.4597772128	-27.9015749185
-51.2074583548	-28.007517025
-51.0706226154	-28.0280759377
-50.8521545873	-27.9827170947
-50.8483217682	-27.9812031612
-50.6946386058	-27.9140408201
-50.5395444116	-27.8460474172
-50.457954543	-27.8041434145
-50.1435390771	-27.6426617654
-49.7541393273	-27.4195446144
-49.5550693171	-27.3206067178
-49.3671015727	-27.2525348048
-49.2042276428	-27.1249588449
-49.0347663259	-27.0168491099
-48.9415013451	-26.9829992819
-48.8735741714	-26.9352456964
-48.7467670362	-26.8997891387
-48.6616639806	-26.9116859929
-48.6509948453	-26.9103691714
-48.6532791276	-26.9054198914
-48.667335936	-26.8984727515
-48.6628673612	-26.8986147904
-48.6583661707	-26.8987578657
-48.6497624119	-26.9034641959
-48.6484387572	-26.9072145531
-48.6427764546	-26.9101560075
-48.6427746989	-26.9101317374
-48.6415998729	-26.8938897572
-48.6369670805	-26.8673431176
-48.6317092285	-26.8449145162
-48.6279588713	-26.835354784
-48.6228113246	-26.8274863909
-48.6203846237	-26.8261627353
-48.6203750128	-26.8261743489
-48.6186197501	-26.8282952904
-48.6185970521	-26.8282713317
-48.6159724388	-26.8255009084
-48.6159367999	-26.8254999044
-48.6107513557	-26.825353835
-48.6094276996	-26.8259421264
-48.6105307459	-26.8279276081
-48.6094276997	-26.8291041913
-48.6094058964	-26.8290816362
-48.607295144	-26.8268980997
-48.6038389334	-26.8262362732
-48.6038359572	-26.8262386542
-48.602368206	-26.8274128547
-48.6023566332	-26.82738669
-48.5989855307	-26.8197650685
-48.5995738221	-26.8159411762
-48.596485293	-26.8045430348
-48.5916318906	-26.797262932
-48.5890581165	-26.7962334224
-48.5890495522	-26.7962408816
-48.5867784885	-26.7982189048
-48.5867586016	-26.798198415
-48.5843517876	-26.795718668
-48.5836899599	-26.794762694
-48.5864843422	-26.7929242837
-48.5874403155	-26.7897622196
-48.5852342252	-26.786453082
-48.584856555	-26.7864095049
-48.5833222793	-26.7862324719
-48.5833222932	-26.7862324416
-48.5844988619	-26.7837322347
-48.5871461722	-26.7829233341
-48.5903817743	-26.7858647888
-48.5943527386	-26.7839528441
-48.5977354121	-26.7789523689
-48.5980295582	-26.7763050579
-48.5958970031	-26.7729959205
-48.598367253	-26.7724873398
-48.5983972401	-26.772481166
-48.6039124691	-26.7794671227
-48.6017799136	-26.7812319967
-48.601574662	-26.7836950181
-48.6015593051	-26.7838793068
-48.6035465164	-26.7857548773
-48.604831674	-26.7869678353
-48.604897663	-26.7880236588
-48.6049787464	-26.7893210011
-48.6155679886	-26.7904240458
-48.6203478545	-26.7891739276
-48.6300546578	-26.783070405
-48.6345403788	-26.7779228585
-48.6404600585	-26.7665247176
-48.6435485879	-26.7657158168
-48.6468347328	-26.7622836202
-48.6468577265	-26.7622596051
-48.6516004691	-26.7706700715
-48.652372954	-26.7720399461
-48.6552408756	-26.7723340917
-48.666418407	-26.7693926372
-48.6711982739	-26.7645392342
-48.6756839928	-26.7540235301
-48.6817139777	-26.7242412882
-48.6811992239	-26.7032834145
-48.6791402049	-26.6985035481
-48.6867144534	-26.6904145458
-48.6884057896	-26.6754866573
-48.6831111687	-26.6458514882
-48.6813462968	-26.6429835699
-48.6828905609	-26.6391596762
-48.679507886	-26.633129692
-48.6793608139	-26.6243053231
-48.6723013184	-26.6010678216
-48.6621296936	-26.5751631048
-48.6620797604	-26.5750359374
-48.6682451912	-26.5842140234
-48.6685509624	-26.5846692061
-48.6687526174	-26.58572069
-48.6706099823	-26.5954055188
-48.6795078871	-26.620849113
-48.6806243131	-26.6302270975
-48.6809786143	-26.6332032278
-48.6832582429	-26.6294528716
