> -L"dykes_parana"
-48.500582742	-25.775422786
-48.546268393	-25.768284403
-48.577677278	-25.76971208
-48.631928989	-25.759718343
-48.670476257	-25.751152284
-48.736863219	-25.733306326
-48.754709177	-25.719743399
-48.801822505	-25.706894309
-48.830376037	-25.700469764
-48.857501892	-25.692617543
-48.871778658	-25.684765322
-48.884627748	-25.677626939
-48.92174734	-25.680482292
-48.943162489	-25.679768454
> -L"dykes_parana"
-48.284618895	-25.534730391
-48.317336484	-25.509151185
-48.34410542	-25.497848745
-48.3803922	-25.480597653
-48.413109789	-25.475243866
-48.442853052	-25.474054135
-48.460104144	-25.475838731
> -L"dykes_parana"
-48.37029932	-25.616318143
-48.404563558	-25.602993161
-48.444538503	-25.588716395
-48.539241051	-25.55730751
-48.587306164	-25.537320038
-48.647744473	-25.515428996
-48.662021239	-25.511145967
> -L"dykes_parana"
-45.729245348	-23.611057091
-45.76208191	-23.577506691
-45.826327357	-23.537531746
-45.959815119	-23.474000137
-46.052614098	-23.41832075
-46.08973369	-23.395477924
-46.136847018	-23.378345805
> -L"dykes_parana"
-48.696862497	-27.254618686
-48.751114208	-27.231775861
-48.813931979	-27.181807179
-48.905303281	-27.0890082
-48.980970141	-26.979077102
-49.056637001	-26.880567416
> -L"dykes_parana"
-48.488897605	-27.187041994
-48.513644	-27.165150952
-48.55266716	-27.143259911
-48.588834967	-27.119465301
-48.627858128	-27.079490356
-48.682109839	-27.013817232
-48.703049096	-26.988119054
> -L"dykes_parana"
-48.862294523	-26.952546111
-48.889896271	-26.898294401
> -L"dykes_parana"
-48.612153685	-26.31419621
-48.652842468	-26.285642678
-48.675685294	-26.259944499
-48.696386605	-26.227821776
-48.731364682	-26.195699052
-48.749924477	-26.177853095
-48.773481141	-26.155724107
-48.817739116	-26.141447341
-48.881270725	-26.104327749
-48.944088496	-26.062925128
-48.987632632	-26.030802404
-49.016900002	-25.995824328
-49.044025858	-25.966556957
-49.071151713	-25.926582012
-49.079003935	-25.920157468
-49.103988275	-25.917302114
-49.155170481	-25.882324038
-49.184437852	-25.86019505
-49.206566839	-25.828072327
-49.217988252	-25.804515663
-49.237261886	-25.781672837
-49.257249359	-25.745267084
-49.263673903	-25.705292139
> -L"dykes_parana"
-47.367481428	-23.503818782
-47.386517116	-23.494300938
-47.400793882	-23.477644711
-47.415070648	-23.458609023
> -L"dykes_parana"
-47.33265405	-24.614919996
-47.385953977	-24.57684862
-47.426880706	-24.542584381
-47.512541302	-24.461682707
-47.548709109	-24.432177391
-47.624851862	-24.379829249
-47.708608889	-24.332240028
-47.77142666	-24.30654185
-47.791414132	-24.302734712
> -L"dykes_parana"
-47.465166234	-24.678784729
-47.485153706	-24.657845472
-47.5099001	-24.637858
-47.586994637	-24.586461642
-47.625066013	-24.559811679
-47.662185605	-24.526499225
-47.714533747	-24.479861789
-47.753556907	-24.446549335
-47.791628284	-24.419899372
-47.811615756	-24.407526175
> -L"dykes_parana"
-48.114497347	-24.327885615
-48.145192394	-24.309325819
-48.180170471	-24.28791067
-48.205154812	-24.275775419
-48.230139152	-24.268637036
-48.284390863	-24.23722815
-48.308661365	-24.225806738
-48.353633178	-24.195825529
-48.376476004	-24.184404116
-48.393608123	-24.175838056
-48.411454081	-24.173696542
> -L"dykes_parana"
-48.158315122	-24.570527185
-48.184489193	-24.540783922
-48.202930016	-24.526507156
-48.223750299	-24.521153369
-48.264201137	-24.497358759
-48.282047094	-24.483676858
> -L"dykes_parana"
-48.186868654	-24.524127695
-48.221965704	-24.508066334
-48.242191122	-24.496169029
-48.255278158	-24.491410107
-48.268365193	-24.481892263
-48.289185477	-24.474159014
-48.307031435	-24.468805227
-48.33261064	-24.46345144
-48.365923095	-24.455718192
-48.378415265	-24.449769539
> -L"dykes_parana"
-47.829354638	-24.700802675
-47.875159262	-24.668085086
-47.931076596	-24.633582902
-47.989968256	-24.608003696
