> -L"dykes_equamp"
-38.137293335	-5.779641546
-38.121113	-5.777262085
-38.109691587	-5.776786192
-38.094463037	-5.768696025
> -L"dykes_equamp"
-38.252452307	-6.360619668
-38.229609482	-6.352053608
-38.217117311	-6.34551009
-38.207004602	-6.337181977
-38.190348375	-6.333612785
-38.170122957	-6.328853863
-38.149897538	-6.325879537
-38.135025907	-6.325879537
-38.115395353	-6.325165699
-38.105401617	-6.318503208
-38.091600743	-6.311840717
-38.075896301	-6.307557687
-38.056860613	-6.302322873
-38.0454392	-6.29946752
-38.024499943	-6.296612167
-38.012602638	-6.294232706
-37.997374088	-6.294232706
-37.975007154	-6.291853245
-37.954067897	-6.289473784
-37.941218808	-6.288521999
-37.927893826	-6.283763077
> -L"dykes_equamp"
-37.927893826	-6.283763077
-37.908699507	-6.277080758
-37.893946849	-6.275177189
-37.883477221	-6.273749512
-37.862537964	-6.27327362
-37.842074599	-6.26899059
-37.828749618	-6.268038806
-37.813045175	-6.260900423
-37.783539858	-6.25376204
-37.766883631	-6.247099549
-37.74927562	-6.250906687
-37.72976404	-6.245671872
-37.71263192	-6.241864735
-37.695023909	-6.238057597
-37.681223035	-6.239961166
-37.668849838	-6.238533489
-37.650290042	-6.237105813
-37.633157923	-6.230919214
-37.62173651	-6.222829047
-37.610315097	-6.219497801
-37.596990116	-6.215214772
-37.577478535	-6.209979957
-37.559870524	-6.207600496
-37.533220561	-6.205696928
-37.523702717	-6.205221035
-37.514660765	-6.205221035
-37.495149185	-6.203317467
-37.479444742	-6.198082652
-37.467071545	-6.189992485
-37.446132288	-6.189992485
-37.427572492	-6.191896054
> -L"dykes_equamp"
-38.416703423	-6.394180314
-38.370065987	-6.392276745
-38.335801748	-6.381807117
-38.304392863	-6.373241057
-38.265369703	-6.361819644
-38.252452307	-6.360619668
> -L"dykes_equamp"
-36.797176426	-6.42669503
-36.780044307	-6.411704425
-36.771478247	-6.399569174
-36.755059966	-6.38457857
> -L"dykes_equamp"
-35.639919617	-5.870869793
-35.614935276	-5.861946814
-35.597089319	-5.853618701
-35.577458766	-5.84112653
-35.543551446	-5.821495977
> -L"dykes_equamp"
-35.533438737	-5.800675693
-35.500126283	-5.788183523
-35.482875191	-5.776881083
-35.46919329	-5.7697427
> -L"dykes_equamp"
-35.879650313	-5.88633629
-35.826112441	-5.872059524
-35.795179448	-5.863136545
-35.755918341	-5.849454644
-35.724985348	-5.837557339
-35.702380468	-5.824470303
-35.683939646	-5.820306247
> -L"dykes_equamp"
-35.466541425	-6.292826483
-35.448695468	-6.281405071
-35.440129408	-6.276170256
-35.427756211	-6.27045955
-35.411099984	-6.266652412
-35.399678571	-6.261417598
-35.380166991	-6.252375646
-35.368269686	-6.24666494
-35.346378644	-6.23809888
> -L"dykes_equamp"
-36.798634944	-6.683559944
-36.776030064	-6.659170468
-36.757589241	-6.637755319
-36.745097071	-6.620504227
-36.736174092	-6.60503773
-36.719517865	-6.577673929
> -L"dykes_equamp"
-37.244189017	-5.659201981
-37.223963598	-5.641950888
> -L"dykes_equamp"
-38.208049184	-6.565776624
-38.182469978	-6.538412822
-38.162839425	-6.516402808
> -L"dykes_equamp"
-37.338386649	-5.756398221
-37.297935812	-5.759967413
-37.262243897	-5.760562278
-37.22179306	-5.749854704
-37.177773032	-5.737362533
-37.135537599	-5.724275498
-37.101630279	-5.714162788
-37.087353513	-5.709998732
-37.086163783	-5.709998732
-37.08021513	-5.70642954
> -L"dykes_equamp"
-35.904761393	-5.586266759
-35.868474613	-5.519641851
> -L"dykes_equamp"
-37.5435255962	-5.84046136509
-37.5949219539	-5.87044257377
-37.6220478094	-5.89328539942
-37.6420352818	-5.90898984206
-37.7105637588	-5.93897105074
-37.8119287977	-5.99750579148
-37.8633251554	-6.04319144279
-37.9304259558	-6.07888335788
-37.9675455474	-6.09601547712
-38.0003821093	-6.12171365598
> -L"dykes_equamp"
-37.1305986922	-6.50241948538
-37.1671472132	-6.51840946334
-37.2128328645	-6.54582085413
-37.2482392443	-6.58122723389
-37.2859299066	-6.61891789623
-37.3327576992	-6.65546641727
-37.3864383395	-6.6805935255
-37.4424032624	-6.71714204655
-37.481236066	-6.74226915477
> -L"dykes_equamp"
-37.315324394	-5.865378978
-37.335453347	-5.868842372
-37.3550839	-5.871816699
-37.380663106	-5.870032103
-37.404457716	-5.870626968
-37.414570425	-5.871221833
-37.430036922	-5.868842372
-37.450857205	-5.871816699
-37.46275451	-5.87419616
-37.476436411	-5.87419616
-37.490713177	-5.881929408
> -L"dykes_equamp"
-35.754381606	-6.222512489
-35.814938888	-6.225813991
-35.847061612	-6.230097021
-35.885251961	-6.232952374
-35.911307059	-6.234023132
-35.9362914	-6.237592323
-35.964488013	-6.24330303
-35.992327706	-6.249013736
-36.019096643	-6.252582928
> -L"dykes_equamp"
-36.21579677	-5.89475165
-36.233404781	-5.894632677
-36.252916361	-5.892253216
-36.263861882	-5.888921971
-36.277186864	-5.884163049
> -L"dykes_equamp"
-36.199854381	-5.864651468
-36.242684679	-5.860368438
-36.269810534	-5.853943894
-36.291939522	-5.851088541
-36.309785479	-5.846091672
-36.342622041	-5.840380966
-36.354043454	-5.836811775
> -L"dykes_equamp"
-38.094463037	-5.768696025
-38.081177713	-5.762737458
-38.072254734	-5.758454428
-38.064045593	-5.757026752
-38.053694938	-5.759882105
-38.04441504	-5.763094377
-38.03192287	-5.76594973
-38.0194307	-5.769162003
-38.009793883	-5.771303518
-37.993732521	-5.775943467
-37.974458887	-5.779155739
-37.96482207	-5.780583416
-37.948046869	-5.777728062
-37.934483942	-5.779512658
-37.92270561	-5.780583416
> -L"dykes_equamp"
-37.976332712	-5.801034883
-37.959200593	-5.79817953
-37.945756638	-5.795919042
-37.933978306	-5.793420608
-37.923627651	-5.791992931
-37.910064723	-5.790208335
-37.897572553	-5.788066821
-37.886864978	-5.791992931
-37.87365897	-5.793420608
-37.863665234	-5.79663288
-37.840822408	-5.793777527
-37.827616399	-5.791279093
-37.803345897	-5.790565255
-37.785499939	-5.791636012
-37.767653982	-5.794134446
-37.750878782	-5.793777527
-37.741598884	-5.788780659
-37.728035956	-5.782356114
-37.719469897	-5.779500761
-37.710546918	-5.770934701
-37.698054748	-5.772005459
> -L"dykes_equamp"
-37.698054748	-5.772005459
-37.668220272	-5.774131111
-37.644425662	-5.780436682
-37.631100681	-5.779009006
-37.621106944	-5.773298299
-37.609209639	-5.766635808
-37.598264119	-5.764256347
-37.579704323	-5.763780455
-37.560668635	-5.763304563
-37.542584731	-5.76473224
-37.524500828	-5.765208132
-37.510224061	-5.768539377
-37.50118211	-5.769015269
-37.493567834	-5.767111701
-37.480242853	-5.767111701
-37.472152685	-5.770918838
-37.455972351	-5.77567776
-37.445978614	-5.776629545
-37.432653633	-5.778533113
-37.420280435	-5.778533113
-37.406955454	-5.776629545
-37.390299227	-5.772822407
-37.377450137	-5.765208132
-37.366504617	-5.757593857
-37.353655527	-5.755214396
-37.337475192	-5.750931366
-37.323674319	-5.754262611
-37.311777014	-5.754738503
-37.291789541	-5.753310827
-37.27418153	-5.750931366
-37.258477087	-5.752359042
-37.249911027	-5.752834935
-37.243248537	-5.749503689
-37.2332548	-5.749027797
-37.221833388	-5.743792983
-37.21374322	-5.741413522
-37.206604837	-5.741413522
-37.196611101	-5.737130492
-37.187569149	-5.733323354
-37.182810227	-5.733799247
-37.167581677	-5.728564432
> -L"dykes_equamp"
-37.167581677	-5.728564432
-37.158222463	-5.72860409
-37.151559973	-5.726224629
-37.139662667	-5.721941599
-37.127765362	-5.717182677
-37.114916273	-5.712423755
-37.100639507	-5.707664833
-37.087790418	-5.708616618
-37.073037759	-5.703857696
-37.058760993	-5.703857696
-37.045436012	-5.703857696
-37.031754111	-5.702786938
-37.02354497	-5.703857696
-37.016406587	-5.703857696
-37.011409719	-5.704571534
-37.004271336	-5.705642291
-36.99856063	-5.702430019
-36.992849923	-5.699931585
-36.986425379	-5.702430019
-36.975717804	-5.701359261
-36.964653311	-5.698860827
> -L"dykes_equamp"
-37.002367767	-5.613200231
-36.976431642	-5.607727471
-36.959775415	-5.606775686
-36.938836159	-5.607251579
-36.934077237	-5.609155147
-36.91313798	-5.612010501
-36.897909429	-5.610582824
-36.878397849	-5.60534801
-36.858410377	-5.604872118
-36.849487398	-5.607727471
-36.836281389	-5.604515199
-36.822361542	-5.602016764
-36.817364674	-5.598804492
-36.805229423	-5.597019896
-36.798804878	-5.598447573
-36.788811142	-5.597733735
-36.779888163	-5.59559222
-36.767039074	-5.592379947
-36.758829934	-5.590595352
-36.74348241	-5.590595352
-36.733345906	-5.589167675
-36.724066008	-5.58702616
-36.711216919	-5.588096918
-36.696940153	-5.587739998
-36.681592629	-5.586312322
-36.67266965	-5.584527726
-36.660534399	-5.583100049
-36.639833089	-5.583100049
-36.624842484	-5.584884645
-36.613064152	-5.585241564
-36.604855012	-5.585955403
> -L"dykes_equamp"
-36.604855012	-5.585955403
-36.591807634	-5.589881513
-36.579910329	-5.58702616
-36.565633563	-5.589405621
-36.550405012	-5.588929729
-36.534224678	-5.58702616
-36.523755049	-5.587977945
-36.514713097	-5.58702616
-36.498532763	-5.584646699
-36.485207781	-5.583219023
-36.476165829	-5.584646699
-36.468551554	-5.584646699
-36.459985494	-5.584646699
-36.441425698	-5.581791346
-36.429528393	-5.579411885
-36.419058765	-5.578460101
-36.40287843	-5.578935993
-36.390029341	-5.581315454
-36.376228467	-5.579411885
-36.362903485	-5.578935993
-36.348626719	-5.579411885
-36.339108875	-5.580363669
-36.320620463	-5.582314827
-36.298134557	-5.581600989
-36.278057854	-5.581630732
-36.259498059	-5.580203056
-36.239510586	-5.579727163
-36.219999006	-5.57687181
-36.198583857	-5.577347702
-36.179548169	-5.579727163
-36.166699079	-5.579251271
-36.160512481	-5.583058409
-36.152422313	-5.58115484
-36.144570092	-5.583058409
-36.139216305	-5.585199924
-36.122084185	-5.583415328
-36.098527522	-5.580203056
-36.08639227	-5.578775379
-36.080003418	-5.578275692
-36.070366601	-5.576134177
-36.065726652	-5.578989531
-36.058231349	-5.580774126
-36.048594532	-5.580417207
-36.036102362	-5.580417207
-36.019327162	-5.580417207
-35.999339689	-5.584343318
> -L"dykes_equamp"
-36.545280248	-5.639963219
-36.53635727	-5.637107866
-36.526006614	-5.633181755
-36.512086767	-5.62675721
-36.501736112	-5.625686453
-36.492456214	-5.628184887
-36.48139172	-5.627114129
-36.468542631	-5.625686453
-36.463188844	-5.627471049
-36.452481269	-5.627471049
-36.441773695	-5.623663911
-36.432553283	-5.62247418
-36.426307198	-5.623069046
-36.411435567	-5.623069046
-36.396861368	-5.620689585
-36.370360121	-5.620035233
-36.347874215	-5.622533667
