> -L"Dykes"
-37.3662977962	-5.87435893454
-37.3714373049	-5.87435060439
-37.4069725885	-5.87290994167
-37.4215381454	-5.87258881673
-37.4314680759	-5.87319913583
-37.4357717638	-5.87306605459
-37.4403782784	-5.87305360509
-37.4471254169	-5.87225643106
> -L"Dykes"
-36.9859943273	-5.69992986057
-37.0002167038	-5.70269155592
-37.0160389349	-5.70164648401
-37.0336960754	-5.69987353757
-37.0483389308	-5.698440513
-37.0585015039	-5.69690936835
-37.0916283807	-5.69141102615
-37.1082897653	-5.69205164776
-37.122463514	-5.69356218574
-37.163890609	-5.7001923948
-37.1675376464	-5.70015003565
-37.1902584793	-5.69907082753
-37.2057420088	-5.7009504525
-37.205856939	-5.7008787457
-37.2058932199	-5.70085182309
-37.2204436076	-5.70194387877
-37.2329536404	-5.70080964087
-37.2396838257	-5.69862642542
-37.2487203772	-5.69799944493
-37.2660480998	-5.69862707245
> -L"Dykes"
-36.09553303	-5.61845604734
-36.1294766578	-5.61605007016
-36.1493678672	-5.6171371663
-36.1667846028	-5.61934249894
-36.1950422449	-5.61975578585
-36.2250048042	-5.62018628
-36.2901862109	-5.62134250756
-36.3323836919	-5.62231766827
-36.3547130707	-5.62027363079
-36.4142685625	-5.62019046464
-36.4339667235	-5.61880231588
-36.4651626567	-5.62413557058
-36.4793726703	-5.62836358703
-36.4984971651	-5.63195695805
-36.5123215697	-5.63353067453
-36.5639314888	-5.64294349821
-36.5860019786	-5.64713222553
-36.6156009368	-5.65054266938
-36.6355961012	-5.65329876909
-36.6677459957	-5.65355413871
-36.7588867963	-5.66669877364
-36.7834589669	-5.66862012544
-36.7962605446	-5.67005409403
-36.8159519881	-5.6742848439
-36.821308193	-5.67566949777
-36.8376377028	-5.67502151249
-36.8505201737	-5.67281783595
> -L"Dykes"
-37.9392726909	-5.77686120663
-37.956910563	-5.78047781224
-37.9708411963	-5.78028017961
-37.9783210769	-5.77871714628
-37.9927234847	-5.77460911456
-38.003294633	-5.7707833958
-38.023069301	-5.76920480568
-38.0346170727	-5.76672824063
-38.0448882212	-5.76014472369
-38.0529745306	-5.75629055379
-38.0639843523	-5.75643508954
-38.0800828533	-5.75892041755
-38.0996141352	-5.76788582073
-38.1080283717	-5.77269634149
-38.1256997945	-5.77793616917
-38.1433194527	-5.77999184788
-38.1535564023	-5.78298311216
-38.1868708502	-5.79355358998
-38.2120112656	-5.79861824747
-38.2359347408	-5.80175638934
-38.2716485238	-5.80401388249
-38.2827255989	-5.80415277702
-38.3198269975	-5.80465324679
-38.3405481948	-5.8112474721
-38.3617248041	-5.82378280215
-38.3665340077	-5.82682491172
-38.366591363	-5.82682624262
> -L"Dykes"
-38.5024428787	-5.86871725443
-38.5101105511	-5.86986743944
-38.5245462529	-5.87134237065
-38.5337516233	-5.87304435836
-38.5445936603	-5.87599055627
-38.5542067151	-5.87994412111
-38.5624239556	-5.88467114514
-38.5709923403	-5.88911853185
-38.5785628006	-5.89452085432
-38.5868187515	-5.89758091876
-38.5945141209	-5.90005318392
-38.6032644413	-5.90410157559
-38.6127128773	-5.90776296837
-38.6225711074	-5.91108824114
-38.6288109201	-5.91444766622
-38.631621464	-5.91709798295
-38.6338204389	-5.91887212443
> -L"Dykes"
-38.2240773293	-5.58625745572
-38.2304919268	-5.58680727575
-38.241947999	-5.59017531169
-38.2499383408	-5.59449864823
-38.2567532487	-5.59511492268
-38.2641917301	-5.59361773889
-38.2924713248	-5.59420730426
-38.3033657778	-5.5928036829
-38.31566267	-5.59332101095
-38.3314945168	-5.59676555732
-38.3442031545	-5.59814755344
-38.3568584414	-5.59935563179
-38.3697446492	-5.60051113442
-38.3811287773	-5.60209228471
-38.3953250852	-5.6061520971
-38.4040600529	-5.60813280332
-38.4103566598	-5.6088505573
-38.4170408529	-5.60826591968
-38.4225055142	-5.60717053192
-38.4311404816	-5.6035707185
-38.4404544885	-5.60038870838
