> -L"Dykes"
-43.7493587992	-18.2023161074
-43.7506199155	-18.2018091617
-43.7518788094	-18.2016455506
-43.7531385368	-18.2013102722
-43.7543985419	-18.2009752715
-43.7554813242	-18.2002955475
-43.7567413294	-18.199960269
-43.7580024457	-18.1994533234
-43.759441896	-18.1991191562
-43.7606994009	-18.1991272122
-43.7619580171	-18.198963601
-43.7632166333	-18.1988002676
-43.7644752494	-18.1986366565
-43.7657327544	-18.1986447125
-43.7677124847	-18.1981422116
-43.768793878	-18.1976341548
-43.7700538832	-18.1972988763
-43.7713124993	-18.1971352652
-43.7723938927	-18.1966269306
-43.7736513977	-18.1966349866
-43.7749100139	-18.1964713754
-43.77616863	-18.1963077643
-43.7774286351	-18.1959722081
-43.7786858623	-18.1959802641
-43.7799447563	-18.1958166529
-43.7812044836	-18.1954813745
-43.783003102	-18.1951491519
-43.7842617181	-18.1949855407
-43.7855192231	-18.1949935967
-43.7867803394	-18.1944863733
-43.7880389556	-18.1943227621
-43.7892986829	-18.1939872059
-43.7918136929	-18.1940030403
-43.7930734202	-18.1936674841
-43.7943309252	-18.1936755401
-43.7955895414	-18.1935116512
-43.7968492687	-18.193176095
-43.7981067737	-18.193184151
-43.7993653899	-18.1930202621
-43.8004467832	-18.1925119275
-43.8018862335	-18.1921774824
-43.8031448497	-18.1920135935
-43.8044020769	-18.1920213718
-43.805662082	-18.1916858156
-43.8069193092	-18.1916935938
-43.8081779254	-18.1915297049
-43.8094390417	-18.1910224814
-43.8106976578	-18.1908585925
-43.811954885	-18.1908663708
-43.8133932241	-18.190703593
-43.8146518403	-18.190539704
-43.8159104564	-18.1903758151
-43.818406022	-18.1901594264
> -L"Dykes"
-44.7362330229	-19.508580528
-44.6765874952	-19.5337197565
> -L"Dykes"
-44.6749386294	-19.4620725731
-44.6489237766	-19.5251099955
-44.6417404044	-19.5492278509
> -L"Dykes"
-44.6765874952	-19.5337197565
-44.6666499536	-19.5379056001
-44.6477637623	-19.5483839614
-44.6417404044	-19.5492278509
> -L"Dykes"
-44.6417404044	-19.5492278509
-44.6384903868	-19.5601367748
-44.6284286663	-19.5923599339
-44.6235380754	-19.6298617235
> -L"Dykes"
-44.6417404044	-19.5492278509
-44.6255631163	-19.5514936858
-44.5796343107	-19.575224581
-44.5674137042	-19.5797518138
-44.5496469648	-19.5828626508
-44.5392699761	-19.5891448901
-44.5110787415	-19.6132527375
-44.4839302928	-19.6278677759
> -L"Dykes"
-44.7431810124	-20.3894909643
-44.6990522101	-20.4175996523
-44.6975402591	-20.4187354888
-44.6957274737	-20.4193016011
-44.693913577	-20.4204371598
-44.6924016259	-20.4215729963
-44.6893788351	-20.4232755008
-44.6642848379	-20.438314708
-44.6304205259	-20.456462811
-44.6286071849	-20.45702809
-44.6249777247	-20.4592975406
-44.6231635503	-20.4601475427
-44.6213499316	-20.4607128217
-44.6195357572	-20.4615628238
-44.6177210271	-20.4626972713
-44.6140918449	-20.464681721
-44.5989692799	-20.4729020203
-44.5974559399	-20.4740370235
-44.5956414877	-20.4748867478
-44.5941284255	-20.476021751
-44.5904992434	-20.477720922
-44.5886839577	-20.4788553695
-44.5868695056	-20.479704816
-44.5850556091	-20.4802698172
-44.5835422691	-20.4814048204
-44.57991142	-20.4836731599
-44.5762822379	-20.485372053
-44.5744666744	-20.4865062228
-44.5708372145	-20.4882051159
-44.5693235968	-20.4893398413
-44.5675097003	-20.4899045647
-44.5656946925	-20.4907540113
-44.5632741265	-20.4921709595
-44.5348398386	-20.5051901585
-44.5330245531	-20.5060393273
-44.5312103788	-20.5066037729
-44.5203186657	-20.5116973967
-44.5185033802	-20.5125462877
-44.5166889281	-20.5131104556
-44.5151747548	-20.5142446254
-44.5133594692	-20.5150935164
-44.5115450172	-20.5156576843
-44.506098605	-20.5182038017
-44.5030691472	-20.5207568646
-44.4794454325	-20.5377655231
-44.4594400655	-20.5556358525
-44.4576178347	-20.5581916936
-44.4352071822	-20.5712128392
-44.4233937977	-20.5782898025
-44.4160787663	-20.5819720341
-44.3885664261	-20.5958167915
-44.3867480848	-20.5969490168
-44.3849311326	-20.5977962411
-44.3831130692	-20.5989284664
-44.379478887	-20.6006231928
-44.3779627692	-20.6017562515
-44.3764466514	-20.6028893102
-44.3746283101	-20.6040209799
-44.3728110801	-20.604868482
-44.3712949624	-20.606001263
-44.3697788446	-20.6071343217
-44.3679605033	-20.6082662692
-44.3664443855	-20.6093990501
-44.3628096478	-20.6110934988
-44.3609913065	-20.6122251685
-44.359474911	-20.6133582272
-44.357657681	-20.6142051737
-44.3540204429	-20.6164687909
-44.3522029352	-20.6173157375
-44.3485654194	-20.6195790769
-44.3467479116	-20.6204260234
-44.3449292926	-20.6215576931
-44.3431117848	-20.6224046397
-44.3415951114	-20.6235374206
-44.3400787159	-20.6246699238
-44.3364434225	-20.6263638168
-44.3328056289	-20.6286268785
-44.3237167012	-20.6328607778
-44.3218978044	-20.6339921697
-44.3182619555	-20.6356855072
-44.3161419465	-20.6365310648
-44.3143238831	-20.6373777335
-44.3125047086	-20.6385088477
-44.310686923	-20.6393555164
-44.3070535744	-20.6404794076
-44.305234122	-20.6416105217
-44.3034174477	-20.6421724673
-44.3015993844	-20.6430191361
-44.2997840991	-20.6432963585
-44.2986443721	-20.6435596922
-44.2895593334	-20.6473933125
-44.2749159377	-20.6535930494
-44.2513069482	-20.6635852954
-44.2497666638	-20.6643833529
-44.2435974714	-20.6659153
-44.2225404389	-20.6711425311
-44.220724598	-20.6714189202
-44.2189057013	-20.6722644778
-44.2152709638	-20.6733864245
-44.2131481769	-20.6745153163
-44.2116303924	-20.6756467083
-44.2098114957	-20.6764922659
-44.2082934335	-20.6776239358
-44.2028364657	-20.6801600531
-44.20101618	-20.6812903339
-44.197376442	-20.6832656167
-44.1846272194	-20.6920286963
-44.168532704	-20.7039053958
-44.1648937995	-20.7055954
-44.1630726804	-20.7067251252
-44.159436554	-20.707845683
-44.1557973718	-20.7095356871
-44.1536784741	-20.7098098539
-44.1518620777	-20.7100854096
-44.1500426255	-20.7109304117
-44.1482245623	-20.7114906906
-44.1464048322	-20.7123354148
-44.144586769	-20.7128956937
-44.1427700948	-20.7131712495
-44.1397470271	-20.712871525
-44.0683478469	-20.7147767799
-43.9980397028	-20.7113230771
-43.9331659102	-20.7105769878
> -L"Dykes"
-45.0094434563	-20.4477468138
-44.8523047176	-20.5535698858
-44.8504905431	-20.5547068334
-44.8489780363	-20.556128782
-44.847767753	-20.5575507307
-44.8462555241	-20.5586879562
-44.8450452408	-20.5601101827
-44.8435327341	-20.5615318535
-44.8420205052	-20.562669079
-44.8408102219	-20.5640913055
-44.8395999386	-20.5655132542
-44.8383893775	-20.5669354807
-44.8371790942	-20.5683574294
-44.8356663097	-20.5697791003
-44.8344560263	-20.571201049
-44.8329432418	-20.5726229976
-44.8317326807	-20.5740449463
-44.8305221196	-20.5754668951
-44.8290093351	-20.5768885659
-44.827798774	-20.5783105146
-44.8262859895	-20.5797321855
-44.8247729271	-20.5811538563
-44.823562366	-20.582575805
-44.8211401325	-20.585988871
-44.8199295714	-20.5874108198
-44.8125931513	-20.5906913835
-44.7833221903	-20.6107089391
-44.7818091281	-20.611845609
-44.7799935646	-20.6129817232
-44.7781788348	-20.6135486688
-44.7763635492	-20.6144003376
-44.7745479858	-20.6155364518
-44.772733256	-20.6161033975
-44.7712193603	-20.6175245127
-44.7697060203	-20.6186611826
-44.7681926803	-20.6197975747
-44.7666793404	-20.6209342446
-44.7651660004	-20.6220706367
-44.7636526604	-20.6232070288
-44.7621390426	-20.6243434209
-44.7606257026	-20.6254800908
-44.7588101393	-20.6263314818
-44.7572962437	-20.6277523193
-44.7557826259	-20.6288887114
-44.7542687302	-20.6303098267
-44.7527545568	-20.6317309419
-44.7512406611	-20.6331517794
-44.7500287111	-20.6345731726
-44.7488170389	-20.6359945657
-44.7473028655	-20.637415681
-44.7460909155	-20.6388370742
-44.7448792433	-20.6402584673
-44.7436672933	-20.6416798605
-44.7421531198	-20.643100698
-44.7406386686	-20.6445215355
-44.7391244951	-20.645942373
-44.7379125451	-20.6473637661
-44.7367000395	-20.6490696047
-44.7354880895	-20.6504909978
-44.7339736382	-20.6519118353
-44.7327614105	-20.6533332285
-44.7315494605	-20.6547543439
-44.730336677	-20.6564601824
-44.7288222258	-20.6578810199
-44.7279119435	-20.6595874141
-44.726398048	-20.6607235284
-44.7251858202	-20.6621449216
-44.7236710912	-20.6635654813
-44.7221569179	-20.6647015956
-44.7209446901	-20.666122711
-44.7197324623	-20.6675441042
-44.7182177333	-20.6689646639
-44.7167027265	-20.6703855014
-44.7154904987	-20.6718066167
-44.7142779932	-20.6732277321
-44.7127632642	-20.6746482918
-44.7112488131	-20.6757844062
-44.7097340841	-20.6772049659
-44.7079171317	-20.6783405245
-44.7064021249	-20.6797610842
-44.7045857283	-20.6806116419
-44.7030712772	-20.6817477562
-44.7015568261	-20.6828835927
-44.7000418193	-20.6843041524
-44.6982248669	-20.6854394333
-44.6967104158	-20.6865752698
-44.6951956869	-20.6877111064
-44.6933792903	-20.6885619418
-44.6918645614	-20.6896977784
-44.6882298233	-20.6922527855
-44.6640013852	-20.7061542113
-44.6424601811	-20.7181186873
-44.6282578976	-20.7260045414
-44.6246231598	-20.7277045456
-44.6228073189	-20.7279851014
-44.6209900889	-20.7288351035
-44.6191734146	-20.7294003825
-44.6155370099	-20.7316692775
-44.6137203356	-20.7322342787
-44.6100853201	-20.7339340051
-44.6082686457	-20.7344990063
-44.6046319633	-20.7367676236
-44.602813622	-20.7379020711
-44.6009961142	-20.7387517954
-44.5994802742	-20.7398867986
-44.5976627664	-20.7407362452
-44.596146093	-20.7421559715
-44.5946294195	-20.7435754201
-44.593112746	-20.7449951465
-44.5915960725	-20.746414595
-44.5900802325	-20.7475495982
-44.5888660603	-20.7489696025
-44.587349109	-20.7503890511
-44.5864391049	-20.751240998
-44.5855810455	-20.7520437781
-44.5847229861	-20.752846836
-44.5838649267	-20.7536496161
-44.5830068673	-20.754452674
-44.5821488079	-20.7552557319
-44.5810763031	-20.7562593459
> -L"Dykes"
-44.8531131505	-20.9685612704
-44.8952561142	-20.9369992368
-44.9776684121	-20.897466914
-45.0409687852	-20.8491411003
-45.0712263244	-20.8260119883
-45.0727396644	-20.8248728184
-45.0742527266	-20.8237336485
-45.0757657888	-20.8225944786
-45.077278851	-20.8214553087
-45.0787919134	-20.8200314156
-45.082423318	-20.8177527983
-45.0839363802	-20.8166136284
-45.0854494424	-20.8154741807
-45.0869622269	-20.8143350108
-45.0884752891	-20.8131955631
-45.0902908524	-20.8123408387
-45.0921069711	-20.8117705597
-45.095738098	-20.8094916645
-45.0975536615	-20.8083519392
-45.0993692248	-20.8074972148
-45.1011847882	-20.8063574894
-45.1026975727	-20.8052180417
-45.104513136	-20.8043630396
-45.1060259204	-20.8032235919
-45.107538427	-20.8020841442
-45.1111689984	-20.7998049712
-45.114800125	-20.7980946891
-45.1184306963	-20.7958152384
-45.1202459819	-20.7949602362
-45.1220612675	-20.7938202331
-45.123876553	-20.7929652309
-45.1253890597	-20.7918255054
-45.1272046229	-20.7912549486
-45.1290196308	-20.7901149455
-45.1308349163	-20.7892596655
-45.1323471452	-20.7881202178
-45.1338596518	-20.7869804924
-45.1356746596	-20.7861252124
-45.1371871662	-20.7849854869
-45.1390018963	-20.7838454838
-45.1405138475	-20.7824210352
-45.1423291331	-20.7815657552
-45.1438413619	-20.780425752
-45.145656092	-20.7792857488
-45.1471680432	-20.7778613002
-45.148983051	-20.7770060202
-45.1526125112	-20.7747257362
-45.1541244623	-20.7735857329
-45.1556364133	-20.7724460074
-45.1571483644	-20.7713060042
-45.1586600379	-20.7698815555
-45.1604753233	-20.7693104432
-45.1619869967	-20.7678859945
-45.163801449	-20.7667457136
-45.165616179	-20.7658901559
-45.1671281301	-20.7647501526
-45.16894286	-20.7638945949
-45.1704548111	-20.7627545916
-45.1719664844	-20.7616145884
-45.1737812144	-20.7607587529
-45.1752926101	-20.7593340264
-45.1771070624	-20.7581937455
-45.1786187357	-20.7570534645
-45.180130409	-20.7559134612
-45.1819448612	-20.7550576257
-45.1834565345	-20.7539176225
-45.1849682078	-20.7527773414
-45.1864796033	-20.7516373382
-45.1879912766	-20.7504970571
-45.1891998932	-20.7490726084
-45.1910140678	-20.7479320497
-45.1925251856	-20.7465073232
-45.1940365812	-20.7453670422
-45.1958504779	-20.7442264835
-45.1976649301	-20.7433703702
-45.199176048	-20.7419456438
-45.2006871657	-20.7408053627
-45.2021985612	-20.7396650817
-45.2058263547	-20.7373836865
-45.2073377503	-20.7362434055
-45.208848868	-20.7351031245
-45.2106627648	-20.733962288
-45.2124769392	-20.7331061747
-45.2139880569	-20.7319658936
-45.2154991747	-20.7308253348
-45.2191264126	-20.7285436619
-45.2206375303	-20.7274033808
-45.2224511493	-20.7262625443
-45.2242650459	-20.7254061533
-45.2257761637	-20.7242655944
-45.2275900603	-20.7234094811
-45.2291011781	-20.7222689223
-45.2309150747	-20.7214125312
-45.2327284159	-20.7202716948
-45.2345423125	-20.7194153037
-45.2363556537	-20.7182741894
-45.2381695503	-20.7174177983
-45.2417962327	-20.7151358476
-45.2433070727	-20.713995011
-45.244514856	-20.7125702844
-45.2460254181	-20.7114294478
-45.2478387593	-20.7102883336
-45.2532796159	-20.7077188825
-45.2547901781	-20.7065780459
-45.2563007402	-20.7054372093
-45.2581138037	-20.7042960951
-45.2599274225	-20.7034394262
-45.2614379847	-20.7022985896
-45.2632513258	-20.7014419207
-45.2647618879	-20.7003010841
-45.2662724501	-20.6991602475
-45.2698982992	-20.6968777412
-45.2714085836	-20.6957369046
-45.272918868	-20.6945957902
-45.2744288747	-20.6931702305
-45.2780544459	-20.6908874464
-45.2795647303	-20.6897466098
-45.2813772382	-20.68860494
-45.2831905793	-20.6877482711
-45.2850030871	-20.6866066013
-45.2865133715	-20.6854654869
-45.2883258794	-20.6843240948
-45.2898361638	-20.6831829805
-45.2934611795	-20.6808999186
-45.2949711861	-20.6797588042
-45.2967842494	-20.6789018576
-45.2982937005	-20.67747602
-45.3001062084	-20.6763343502
-45.3016153818	-20.6749085126
-45.3031253884	-20.6737673982
-45.304635395	-20.6726262839
-45.3061445684	-20.6712004463
-45.307654575	-20.6700590542
-45.3091637484	-20.6686332166
-45.3106729218	-20.667207379
-45.3121826507	-20.6660662647
-45.3136918241	-20.6646401493
-45.3152015529	-20.663499035
-45.3164085028	-20.6620737528
-45.3179179539	-20.6609323607
-45.3194276827	-20.6597909685
-45.3212404682	-20.6589337441
-45.3227493638	-20.6575079065
-45.3242585372	-20.6560817912
-45.3254649316	-20.6546565091
-45.3266716038	-20.6532309492
-45.3281804994	-20.6518048339
-45.329689395	-20.6503789963
-45.3308957894	-20.6489534364
-45.332404685	-20.6475273211
-45.3339141361	-20.6463859289
-45.3354227539	-20.6449598136
-45.336932205	-20.6438184214
-45.338441656	-20.6426770293
-45.3396480504	-20.6412514694
-45.3414597249	-20.640109244
-45.3429688982	-20.6389678518
-45.3444780714	-20.6378261819
-45.3459875225	-20.6366847897
-45.3474966958	-20.6355431198
-45.351119767	-20.633258669
-45.3526281071	-20.6318325537
-45.3544397816	-20.6306903283
-45.3559486771	-20.6295486583
-45.3574578503	-20.6284069884
-45.3610806438	-20.6261225376
-45.3628920405	-20.6249803122
-45.3647039927	-20.6241225322
-45.3662128882	-20.6229808623
-45.3680248403	-20.6221230823
-45.3695337358	-20.6209811346
-45.4056686119	-20.6040119241
-45.3749665372	-20.6172694574
-45.3763612654	-20.6165702889
> -L"Dykes"
-45.3730482644	-20.4496241741
-45.2207139849	-20.57085508
-45.2195073127	-20.5722798066
-45.2183003628	-20.5737045331
-45.2170936905	-20.575413705
-45.2158867405	-20.5768384316
-45.2146797906	-20.5782631581
-45.2131706172	-20.5796881623
-45.2116608884	-20.5808287212
-45.2101511595	-20.5819690022
-45.2086417084	-20.5833940064
-45.2071322572	-20.5848190106
-45.2056230838	-20.5862440148
-45.2023022357	-20.5893787463
-45.1802657467	-20.6144510442
-45.1790585189	-20.6161602162
-45.1778507356	-20.6175846649
-45.1766432301	-20.6190091137
-45.1742284966	-20.6224271798
-45.173020991	-20.6241360739
-45.1718132077	-20.6255605227
-45.1706057021	-20.6272694169
-45.1690956953	-20.6286941433
-45.1675854108	-20.6301188697
-45.1663779052	-20.6318277639
-45.1651701219	-20.6332519349
-45.1639620608	-20.6346763836
-45.1627545552	-20.6363852778
-45.1612437153	-20.637525281
-45.1588284262	-20.6409430693
-45.157923144	-20.6426516858
-45.156715083	-20.6440761346
-45.155809523	-20.6457847511
-45.154601462	-20.647208922
-45.1530908997	-20.6486333707
-45.1515806151	-20.6500578193
-45.1503722763	-20.6514822681
-45.1491642152	-20.6529064391
-45.1476536529	-20.6543308877
-45.1464453141	-20.6557550587
-45.1452369752	-20.6571792297
-45.1437264129	-20.6586036783
-45.1425180741	-20.6600278493
-45.141007234	-20.661452298
-45.1394963939	-20.6628767466
-45.1382880551	-20.6643006398
-45.1370797162	-20.6657248108
-45.1358713774	-20.6671489818
-45.1346627607	-20.6685731527
-45.133756923	-20.6702817692
-45.1322460829	-20.6717059401
-45.1313402452	-20.6734145566
-45.1298294051	-20.6748387274
-45.1286207885	-20.6762628984
-45.1271096706	-20.6776870693
-45.1255985528	-20.6791115179
-45.1240874349	-20.6805356888
-45.1228788183	-20.681959582
-45.1198568602	-20.6850926469
-45.0772319459	-20.7289505553
-45.0760224959	-20.7303741708
-45.0748127682	-20.731798064
-45.0736033182	-20.7332216794
-45.0723938682	-20.7346452948
-45.0711841405	-20.7360689102
-45.0696719115	-20.7374928033
-45.0681599603	-20.7389164186
-45.0669502325	-20.740340034
-45.0657405048	-20.7417636494
-45.0642282758	-20.7431875425
-45.0627160468	-20.7446111578
-45.06120354	-20.7460347731
-45.059691311	-20.7474586662
-45.0581788043	-20.7488822815
-45.0569690765	-20.7503058969
-45.0554565699	-20.751444789
-45.0539440631	-20.7528684043
-45.0524315563	-20.7542920196
-45.0509190496	-20.7557156349
-45.0494065428	-20.7571392502
-45.047894036	-20.7585628655
-45.0463812516	-20.7597017576
-45.0448684671	-20.7611253729
-45.0430531814	-20.762264265
-45.041540397	-20.7634031571
-45.0403303914	-20.7648267725
-45.038817607	-20.7659656646
-45.0373048225	-20.7673890021
-45.035792038	-20.7685278943
-45.0342789758	-20.7696667864
-45.0327661914	-20.7708054007
-45.0312534068	-20.772229016
-45.0297403446	-20.7733676304
-45.0282272824	-20.7745065225
-45.026411719	-20.7756454145
-45.0248986568	-20.7767840289
-45.0233855945	-20.7782073664
-45.0218725322	-20.7793462585
-45.0203594699	-20.780769596
-45.0188464076	-20.7821929335
-45.0176361243	-20.7836159934
-45.0161227842	-20.7850393309
-45.0146097218	-20.7864626684
-45.0130963817	-20.7878860059
-45.0115833195	-20.7890246203
-45.0100699794	-20.7904479578
-45.0085566393	-20.7918710175
-45.0073460781	-20.7935788006
-45.005832738	-20.7950021381
-45.0043193978	-20.7964251978
-45.0015952191	-20.7987024266
-44.9785876148	-20.8231791663
-44.9773764981	-20.8246022262
-44.9758623247	-20.8260250081
-44.974045928	-20.8268786214
> -L"Dykes"
-44.8531131505	-20.9685612704
-44.8634243078	-20.9594617996
-44.8879810823	-20.9421178622
-44.8897994234	-20.9412650823
-44.8916180424	-20.9401275792
-44.8934366614	-20.939275077
-44.8952561142	-20.9369992368
-44.9191953828	-20.9273347692
-44.9246495728	-20.9247758739
-44.9282859776	-20.9225003121
-44.9319221043	-20.9207939189
-44.9346487824	-20.9199411393
-44.9667633653	-20.902873039
-44.9685808731	-20.9020194257
-44.970398381	-20.9008813671
-44.9722158887	-20.9003121992
-44.9740333964	-20.8994585859
-44.9758509044	-20.8983205272
-44.9776684121	-20.897466914
-44.9813031502	-20.8951902411
-44.9828178791	-20.8940519045
-44.9843323302	-20.892913568
-44.9861495603	-20.8917752315
-44.9876640115	-20.8903521718
-44.9912987496	-20.8880754989
-44.9928132007	-20.8869368845
-44.994327374	-20.885798548
-44.9958418251	-20.8846599336
-44.9976590551	-20.8838063204
-44.9994762853	-20.8826677061
-45.0022018529	-20.8803907551
-45.0196185963	-20.867344607
-45.021582216	-20.8658734917
-45.0384578461	-20.8526498428
-45.0470131616	-20.8459442681
-45.0488295584	-20.8448053761
-45.0503428985	-20.8433817608
-45.0518562386	-20.8419581455
-45.0533698564	-20.8408192533
-45.0548831964	-20.8396800834
-45.0563965364	-20.8385411913
-45.0582129332	-20.8374020215
-45.0597262731	-20.8362631294
-45.0612393355	-20.8348392363
-45.0624498966	-20.8334158987
-45.0636601799	-20.8319922833
-45.0651735199	-20.8308531134
-45.0666868599	-20.8297139435
-45.0681999222	-20.8282903282
-45.0702219327	-20.8267681897
> -L"Dykes"
-45.1166676041	-20.8649810243
-45.093970002	-20.8871958123
-45.0782282651	-20.9011505752
-45.0770174263	-20.9025741906
-45.0755035307	-20.9037133606
-45.0742926918	-20.905136976
-45.0730818529	-20.9065605914
-45.0715676796	-20.9076997613
-45.0703568407	-20.9091233767
-45.069145724	-20.9105469921
-45.0676318285	-20.911686162
-45.0664207118	-20.9131097774
-45.0652095952	-20.9145333928
-45.0633926428	-20.9156725626
-45.0621815261	-20.917096178
-45.0609704095	-20.9185197934
-45.0594562361	-20.9196586856
-45.0579420628	-20.9207978555
-45.0564278894	-20.9222214708
-45.0546106592	-20.9233606406
-45.0533995426	-20.9247839782
-45.0518850914	-20.9259228703
-45.050673697	-20.9273464857
-45.0491595235	-20.928770101
-45.0476453501	-20.9301937163
-45.046130899	-20.9313326084
-45.0449195045	-20.9327559461
-45.0424961608	-20.9338951156
-45.0149293704	-20.9598004695
-45.0134146414	-20.961223807
-45.0118996346	-20.9626471445
-45.0103846278	-20.9640702043
-45.008869621	-20.9654935418
-45.0073546143	-20.9666321561
-45.0058393298	-20.9677704927
-45.004324323	-20.9691938302
-45.0025062596	-20.9703321666
-45.0009909751	-20.971470781
-44.9994759683	-20.9728938407
-44.9979606837	-20.9743171782
-44.9964453993	-20.9754555148
-44.9949301148	-20.9765938513
-44.9934148303	-20.9777324657
-44.9918995459	-20.9788708022
-44.9903842614	-20.9800091388
-44.9867473011	-20.9822860895
-44.9849289599	-20.9834244259
-44.9834136754	-20.9845627625
-44.9818981132	-20.985701099
-44.9803825508	-20.987123881
-44.9779578181	-20.9885469404
> -L"Dykes"
-41.3455566732	-9.04894228995
-41.352901608	-9.06660213825
-41.3569595344	-9.07824171889
-41.3597480555	-9.08801455661
-41.3641093738	-9.10216793584
-41.3665509951	-9.11644300892
-41.3662934915	-9.12199848628
-41.3663513224	-9.1307672671
-41.367270327	-9.13631507107
-41.3678894645	-9.14098790802
-41.3685008996	-9.14449157098
-41.3700005368	-9.14886633518
-41.3714905352	-9.15177962704
-41.372400058	-9.15586592364
-41.3733134943	-9.16053679318
-41.373921179	-9.16345584063
-41.3742522277	-9.1690074279
-41.3755416711	-9.18595251719
-41.3762040721	-9.19705564834
-41.3777452127	-9.20756835836
-41.3787608365	-9.22743815568
-41.3793805842	-9.23211087326
-41.3791118894	-9.23591256876
-41.3788706787	-9.24380629911
> -L"Dykes"
-42.9625347105	-12.2670189446
-42.9625347068	-12.2798503897
-42.9617570389	-12.2938483296
-42.9551468965	-12.2965701494
-42.9504809115	-12.3055132765
-42.9508697372	-12.3265101868
-42.9489255721	-12.3463406014
-42.9446484177	-12.3595608769
-42.9421210075	-12.3700593313
-42.9390103498	-12.3797801221
-42.9417321715	-12.3840572713
-42.943287497	-12.3906674101
-42.943287494	-12.4007770335
-42.9425098273	-12.4108866567
-42.9366773484	-12.4143861401
-42.9285118788	-12.4159414645
-42.9257900568	-12.4124419787
-42.9257900592	-12.4042765136
-42.9226794076	-12.3930003943
-42.9211240811	-12.3898897406
-42.9152916025	-12.3922227289
-42.9141251054	-12.3972775403
-42.9086814583	-12.4007770238
-42.904404308	-12.3999993593
-42.8989606622	-12.3992216944
-42.8958500069	-12.4003881885
-42.8935170146	-12.4042765046
-42.8935170121	-12.4128308013
-42.8962388311	-12.4264399105
-42.897405321	-12.4454926626
-42.9016824676	-12.4583241089
-42.9047931185	-12.4719332181
-42.9049875308	-12.4839869999
> -L"Dykes"
-39.4710534995	-15.2982366736
-39.394673336	-15.2938300949
-39.3142171944	-15.2947236656
-39.2714377226	-15.2951871209
-39.264319488	-15.2952634513
> -L"Dykes"
-42.4972804783	-4.67052624803
-42.4927375038	-4.67795850378
> -L"Dykes"
-42.2841463793	-4.63275943202
-42.2816241475	-4.65632617805
-42.275518561	-4.69423741011
-42.2743435564	-4.69710130925
-42.2694879856	-4.72467084796
-42.2677268587	-4.72867919074
-42.2659046309	-4.739018114
-42.2593796047	-4.76081540382
-42.2593518242	-4.76369319314
-42.2576018175	-4.76655153219
-42.2322711677	-4.83303230446
-42.2188433363	-4.85591014694
> -L"Dykes"
-42.4927375038	-4.67795850378
-42.4710498283	-4.71342916424
-42.4623220152	-4.72600420403
-42.4506469704	-4.74660426951
-42.4401636005	-4.76261543023
-42.4395691481	-4.7649098776
-42.4290829982	-4.78091826831
-42.4226551935	-4.79294052654
-42.4197524026	-4.7963627573
-42.3742411183	-4.87301578048
> -L"Dykes"
-42.135365222	-5.10817484312
-42.1666014412	-5.14186940601
-42.1847459542	-5.1644972615
-42.2017126826	-5.18998900612
-42.2045099118	-5.19749737077
-42.2403239273	-5.23354471197
-42.2488628474	-5.24111417755
> -L"Dykes"
-48.2665982016	-22.778672415
-48.2162120971	-22.803951416
-48.1638543952	-22.8326643298
> -L"Dykes"
-48.2972018385	-23.4534241773
-48.2774245425	-23.5481124494
-48.2749422923	-23.5592329076
> -L"Dykes"
-49.549536943	-23.4086587791
-49.5420868454	-23.4161905565
-49.5384347954	-23.4192339275
-49.5325509378	-23.4216686238
-49.5254497288	-23.4305958463
-49.5232179204	-23.4328276519
-49.5213918949	-23.4364796977
-49.516649748	-23.4412457821
-49.5061750196	-23.4512907708
-49.4978564619	-23.4559572725
-49.4897407951	-23.4636671461
-49.3972810582	-23.5261300734
-49.3720810003	-23.5480143058
-49.3375967118	-23.5725511711
-49.2752597313	-23.6063722522
> -L"Dykes"
-48.2749422923	-23.5592329076
-48.260464729	-23.6271574798
> -L"Dykes"
-49.4316140681	-23.7027018895
-49.4263511912	-23.7067159616
-49.4188197303	-23.7134987642
-49.4100389079	-23.7208400267
-49.4043961528	-23.7253550005
-49.3946332428	-23.729723379
> -L"Dykes"
-49.3946332428	-23.729723379
-49.3931583578	-23.7303832222
-49.3825265625	-23.7365602347
-49.3731284329	-23.7433211545
-49.3574914482	-23.7523016676
-49.352114549	-23.7567911986
-49.3417872811	-23.7664243377
-49.3317274034	-23.7760333936
-49.3210377404	-23.7862064583
-49.311610782	-23.7946777465
-49.2973107045	-23.8053724466
> -L"Dykes"
-51.0164627265	-24.4622287748
-50.9834856371	-24.4862629815
-50.9533741629	-24.502940541
-50.9196753389	-24.5186975452
-50.8993944906	-24.533908163
> -L"Dykes"
-51.5027497116	-24.0725194099
-51.474682352	-24.1052656348
-51.472328439	-24.1080108551
-51.4444422741	-24.1282916796
-51.4089507923	-24.1485725031
-51.3835997325	-24.1713884314
-51.3354327204	-24.2043447706
-51.299941237	-24.2322309044
-51.2543093306	-24.2626521402
-51.2061423179	-24.2956084791
-51.1605104099	-24.3336350252
-51.0895274424	-24.3868721886
-51.0413604268	-24.4325040445
-51.0160093647	-24.4629252827
> -L"Dykes"
-50.2505804781	-24.0513442277
-50.2305511749	-24.0682920786
-50.2028182922	-24.0975656405
-50.1658411152	-24.1360834849
> -L"Dykes"
-50.4416291761	-24.0775364004
-50.4188398391	-24.1140068471
-50.3784598306	-24.1545720921
-50.3199126354	-24.2084970736
> -L"Dykes"
