>anchorPlateId 0
>reconstructionTime 0
>SA_hotspot_motionpath.gpml
>Muller_etal_Global_250-0Ma_Rotations_2019_v2.rot Seton_etal_ESR2012_2012.1.rot Muller_etal_2016_Global_EarthByte_230-0Ma_GK07_AREPS.rot Matthews_etal_GPC_2016_410-0Ma_GK07.rot 1000_0_rotfile_Merdith_et_al.rot
>MotionPath <identity>GPlates-156c324e-8957-42a1-aade-c450ede9ffd5</identity> <revision>GPlates-750d136e-e351-45a0-b166-9d1af0ae9c76</revision>
> Recostruction plate id: 0
> Relative plate id: 201
> 0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230
> Motion path
  -56.461484      28.354421      230.000000
  -56.197767      25.706103      220.000000
  -56.171730      21.906122      210.000000
  -56.046763      18.924020      200.000000
  -55.787951      17.955169      190.000000
  -55.074255      18.810417      180.000000
  -54.190360      19.836493      170.000000
  -52.922659      19.865535      160.000000
  -52.132634      20.337546      150.000000
  -54.280407      20.875030      140.000000
  -54.464634      20.836694      130.000000
  -53.746422      18.903064      120.000000
  -50.343242      17.668472      110.000000
  -47.309041      17.579769      100.000000
  -45.465596      16.368622      90.000000
  -43.538297      14.076623      80.000000
  -40.677154      11.828939      70.000000
  -37.522091      10.086607      60.000000
  -34.959014       8.609389      50.000000
  -33.437828       7.962846      40.000000
  -30.741001       7.080937      30.000000
  -29.504277       6.448041      20.000000
  -28.265380       6.303217      10.000000
  -27.644084       5.202517       0.000000
>
> Motion path
  -59.006476      18.411586      230.000000
  -58.731416      15.771264      220.000000
  -58.663974      11.974880      210.000000
  -58.408901       8.971362      200.000000
  -58.321551       8.044639      190.000000
  -57.665508       8.911695      180.000000
  -56.877798       9.958708      170.000000
  -56.119528      10.129637      160.000000
  -55.734502      10.730915      150.000000
  -57.725589      11.212461      140.000000
  -58.163534      11.260885      130.000000
  -57.625065       9.406228      120.000000
  -54.342970       8.227036      110.000000
  -51.242091       8.112458      100.000000
  -49.324720       6.879468      90.000000
  -47.708818       4.727451      80.000000
  -45.101092       2.605238      70.000000
  -42.011361       0.901266      60.000000
  -39.589915      -0.501203      50.000000
  -38.167002      -1.095705      40.000000
  -35.440903      -1.990782      30.000000
  -34.058487      -2.696399      20.000000
  -32.638770      -2.928616      10.000000
  -31.944976      -4.062456       0.000000
>
> Motion path
  -39.791477      16.989463      230.000000
  -39.769208      14.416116      220.000000
  -39.981366      10.769285      210.000000
  -39.873038       8.063856      200.000000
  -39.849722       6.865738      190.000000
  -39.165764       7.610463      180.000000
  -38.344990       8.466532      170.000000
  -37.694824       7.753888      160.000000
  -37.404833       7.642759      150.000000
  -39.318863       8.391248      140.000000
  -39.840841       7.998946      130.000000
  -39.457122       5.844181      120.000000
  -36.266894       4.460049      110.000000
  -33.143118       4.466037      100.000000
  -31.233453       3.380851      90.000000
  -29.781947       0.692928      80.000000
  -27.297073      -1.865038      70.000000
  -24.225089      -3.658628      60.000000
  -21.847906      -5.298109      50.000000
  -20.460511      -6.065964      40.000000
  -17.693477      -6.880980      30.000000
  -16.216701      -7.286056      20.000000
  -14.708273      -7.164960      10.000000
  -13.941225      -8.121576       0.000000
>
> Motion path
  -52.535612       3.143039      230.000000
  -52.335920       0.492562      220.000000
  -52.303029      -3.298699      210.000000
  -51.901423      -6.233751      200.000000
  -52.070758      -7.266521      190.000000
  -51.491687      -6.431039      180.000000
  -50.831622      -5.435804      170.000000
  -50.827642      -5.538343      160.000000
  -51.046643      -5.127428      150.000000
  -52.783643      -4.569943      140.000000
  -53.609884      -4.636819      130.000000
  -53.409697      -6.582094      120.000000
  -50.355062      -7.818844      110.000000
  -47.148951      -7.907059      100.000000
  -45.139740      -9.116657      90.000000
  -44.083019      -11.404974      80.000000
  -41.948692      -13.627175      70.000000
  -38.996977      -15.358801      60.000000
  -36.845559      -16.809536      50.000000
  -35.608703      -17.434031      40.000000
  -32.833159      -18.322639      30.000000
  -31.180698      -18.985677      20.000000
  -29.426886      -19.158403      10.000000
  -28.592565      -20.267753       0.000000
>
> Motion path
  -36.156629       8.215039      230.000000
  -36.052792       5.687845      220.000000
  -36.115435       2.119589      210.000000
  -35.800859      -0.484014      200.000000
  -35.875102      -1.725484      190.000000
  -35.268874      -1.017316      180.000000
  -34.561277      -0.212785      170.000000
  -34.321680      -1.090788      160.000000
  -34.381808      -1.326803      150.000000
  -36.182408      -0.540385      140.000000
  -36.914389      -1.002761      130.000000
  -36.623481      -3.185583      120.000000
  -33.497911      -4.589475      110.000000
  -30.312948      -4.564573      100.000000
  -28.296215      -5.615752      90.000000
  -27.035092      -8.365196      80.000000
  -24.692810      -10.967914      70.000000
  -21.605674      -12.760210      60.000000
  -19.295587      -14.421512      50.000000
  -17.973349      -15.208395      40.000000
  -15.131695      -16.005441      30.000000
  -13.476078      -16.361662      20.000000
  -11.782982      -16.184798      10.000000
  -10.881729      -17.102224       0.000000
>
> Motion path
  -36.060135      -11.678456      230.000000
  -35.672048      -14.202294      220.000000
  -35.260027      -17.756269      210.000000
  -34.366155      -20.328184      200.000000
  -34.638139      -21.582707      190.000000
  -34.240384      -20.885685      180.000000
  -33.826470      -20.093503      170.000000
  -34.537928      -20.983394      160.000000
  -35.412684      -21.195110      150.000000
  -36.959508      -20.419593      140.000000
  -38.171302      -20.858599      130.000000
  -38.085737      -23.028863      120.000000
  -35.114173      -24.422311      110.000000
  -31.784416      -24.407835      100.000000
  -29.515116      -25.475218      90.000000
  -28.738960      -28.193903      80.000000
  -26.800147      -30.765353      70.000000
  -23.725646      -32.558984      60.000000
  -21.644153      -34.201636      50.000000
  -20.521428      -34.970053      40.000000
  -17.521124      -35.784692      30.000000
  -15.411839      -36.180834      20.000000
  -13.223515      -36.037156      10.000000
  -11.995761      -36.971632       0.000000
>
